ItemNumber	Description	Manufacturer	Category	ImageURL	PDFURL	ProductURL	Tags
R422001237	CYLINDER, 50mm BORE X 100mm STROKE, COMPACT	AVENTICS	Pneumatics	https://ryedesign.github.io/spare-parts-assets/Aventics_R422001237_CYLINDER50MMBORE100MMSTROKE.png	https://ryedesign.github.io/spare-parts-assets/Aventics_R422001237_CYLINDER50MMBORE100MMSTROKE.pdf		actuator, air cylinder, aventics, cylinder, emerson pneumatics, numatics, pneumatic cylinder, pneumatics
R502A1B50MA00F1	502 Series Valve	AVENTICS	Pneumatics	https://ryedesign.github.io/spare-parts-assets/Aventics_R502A1B50MA00F1_502SeriesValve.png	https://ryedesign.github.io/spare-parts-assets/Aventics_R502A1B50MA00F1_502SeriesValve.pdf		aventics, directional control, emerson pneumatics, numatics, pneumatic valve, pneumatics, solenoid, valve
R502AS429395002	502 PRO SAND SPD CNTRL KT	AVENTICS	Pneumatics	https://ryedesign.github.io/spare-parts-assets/Aventics_R502AS429395002_502SeriesThrottleSandwichPlate.png	https://ryedesign.github.io/spare-parts-assets/Aventics_R502AS429395002_502SeriesThrottleSandwichPlate.pdf		aventics, emerson pneumatics, numatics, pneumatics
R503A1B10MA00F1	503 F1 S/S PLGN A00F1 VALVE	AVENTICS	Pneumatics	https://ryedesign.github.io/spare-parts-assets/Aventics_R503A1B10MA00F1_503SeriesDirectionalValve.png	https://ryedesign.github.io/spare-parts-assets/Aventics_R503A1B10MA00F1_503SeriesDirectionalValve.pdf		aventics, directional control, emerson pneumatics, numatics, pneumatic valve, pneumatics, solenoid, valve
R503A1B50MA00F1	SOLENOID VALVE 5/3 WAY DUAL SOLENOID 24 V DC 503 SERIES	AVENTICS	Pneumatics	https://ryedesign.github.io/spare-parts-assets/Aventics_R503A1B50MA00F1_503SeriesDirectionalValve.png	https://ryedesign.github.io/spare-parts-assets/Aventics_R503A1B50MA00F1_503SeriesDirectionalValve.pdf		aventics, directional control, emerson pneumatics, numatics, pneumatic valve, pneumatics, solenoid, valve
R503A2B60MA00F1	503 Series Valve Actuation: Rubber Packed Valve Type: Solenoid Pilot with Flush Non-Locking Override	AVENTICS	Pneumatics	https://ryedesign.github.io/spare-parts-assets/Aventics_R503A2B60MA00F1_503SeriesDirectionalValve.png	https://ryedesign.github.io/spare-parts-assets/Aventics_R503A2B60MA00F1_503SeriesDirectionalValve.pdf		aventics, directional control, emerson pneumatics, numatics, pneumatic valve, pneumatics, solenoid, valve
R503ARS11JA0010	503 PRO RS 130PSIG KT (Regulator)	AVENTICS	Pneumatics	https://ryedesign.github.io/spare-parts-assets/Aventics_R503ARS11JA0010_502SeriesManifoldSubBase.png	https://ryedesign.github.io/spare-parts-assets/Aventics_R503ARS11JA0010_502SeriesManifoldSubBase.pdf		aventics, emerson pneumatics, filter regulator, frl, numatics, pneumatics, pressure regulator, regulator
19248	TL50BLGYRALSQ TOWER LIGHT W/ ADJUSTABLE ALARM	BANNER	Safety	https://ryedesign.github.io/spare-parts-assets/Banner_19248_TL50BLGYRALSQTowerLight.png	https://ryedesign.github.io/spare-parts-assets/Banner_19248_TL50BLGYRALSQTowerLight.pdf		banner, banner engineering, indicator, safety, signal light, stack light, tower light
25298	SSA-EB1P-02ECQ4 ESTOP	BANNER	Safety	https://ryedesign.github.io/spare-parts-assets/Banner_25298_SSA-EB1P-02ECQ4Estop.png	https://ryedesign.github.io/spare-parts-assets/Banner_25298_SSA-EB1P-02ECQ4Estop.pdf		banner, banner engineering, e-stop, emergency stop, estop, safety, safety stop
32037	K50LGRXPPB2Q PUSH BUTTON	BANNER	Safety	https://ryedesign.github.io/spare-parts-assets/Banner_32037_K50LGRXPPB2QPushButton.png	https://ryedesign.github.io/spare-parts-assets/Banner_32037_K50LGRXPPB2QPushButton.pdf		banner, banner engineering, momentary switch, operator, push button, pushbutton, safety
